Source,Target,Weight,Season
EMMA,MERLIN,,5
EMMA,KING_ARTHUR,,5
EMMA,SIR_KAY,,5
EMMA,MERIDA,,5
EMMA,PERCIVAL,,5
EMMA,GUINEVERE,,5
EMMA,VIOLET_MORGAN,,5
EMMA,GRIF,,5
EMMA,SIR_HANK_MORGAN,,5
EMMA,NIMUE,,5
EMMA,LORD_MACINTOSH,,5
EMMA,VORTIGAN,,5
EMMA,QUEEN_ELINOR,,5
EMMA,KING_FERGUS,,5
EMMA,WITCH,,5
EMMA,BRENNAN_JONES,,5
EMMA,LIAM,,5
EMMA,HADES,,5
EMMA,HERCULES,,5
EMMA,MEGARA,,5
EMMA,FENDRAKE_THE_HEALER,,5
EMMA,CAPTAIN_SILVER,,5
EMMA,CLEO_FOX,,5
EMMA,ZEUS,,5
EMMA,DR_JEKYLL,,5
EMMA,ORDERLY,,5
EMMA,MR_HYDE,,5
EMMA,EVIL_QUEEN_SERUM,,5
HENRY,REGINA,,5
HENRY,RUMPLE,,5
HENRY,SNOW,,5
HENRY,HOOK,,5
HENRY,PAN,,5
HENRY,ZELENA,,5
HENRY,PINOCCHIO,,5
HENRY,JIMINY,,5
HENRY,HUNTSMAN,,5
HENRY,RUBY,,5
HENRY,MIRROR,,5
HENRY,GRANNY,,5
HENRY,GRUMPY,,5
HENRY,GEORGE,,5
HENRY,ABIGAIL,,5
HENRY,CINDERELLA,,5
HENRY,THOMAS,,5
HENRY,WHALE,,5
HENRY,GEPPETTO,,5
HENRY,BLUE,,5
HENRY,JEFFERSON,,5
HENRY,MALEFICENT,,5
HENRY,PRINCE_HENRY,,5
HENRY,KING,,5
HENRY,MARTIN,,5
HENRY,MYRNA,,5
HENRY,RUTH,,5
HENRY,MIDAS,,5
HENRY,ZOSO,,5
HENRY,BEALFIRE,,5
HENRY,HORDOR,,5
HENRY,BLIND_WITCH,,5
HENRY,HANSEL,,5
HENRY,GRETEL,,5
HENRY,WOODCUTTER,,5
HENRY,THATCHER,,5
HENRY,STEALTHY,,5
HENRY,LEOPOLD,,5
HENRY,MAURICE,,5
HENRY,NOVA,,5
HENRY,TOMKINS,,5
HENRY,PETER,,5
HENRY,DANIEL,,5
HENRY,CORA,,5
